,Количество комнат,Цена квартиры,Площадь,Район,Ссылка
128,1,4539640,42.4,Октябрьский,https://www.pik.ru/search/ekb/ip
129,2,5420100,60,Октябрьский,https://www.pik.ru/search/ekb/ip
130,1,4938530,42.4,Октябрьский,https://www.pik.ru/search/ekb/ip
131,Ст,3290288,20.4,Октябрьский,https://www.pik.ru/search/ekb/ip
132,1,4098129,36.2,Октябрьский,https://www.pik.ru/search/ekb/ip
133,1,4827167,40.9,Октябрьский,https://www.pik.ru/search/ekb/ip
134,1,4995446,42.4,Октябрьский,https://www.pik.ru/search/ekb/ip
135,Ст,3331261,19.6,Октябрьский,https://www.pik.ru/search/ekb/ip
136,Ст,2937569,19.6,Октябрьский,https://www.pik.ru/search/ekb/ip
137,2,5837794,56.4,Октябрьский,https://www.pik.ru/search/ekb/ip
138,2,6386640,60,Октябрьский,https://www.pik.ru/search/ekb/ip
139,1,4704176,34.1,Октябрьский,https://www.pik.ru/search/ekb/ip
140,2,6906954,56.4,Октябрьский,https://www.pik.ru/search/ekb/ip
141,Ст,3104589,19.6,Октябрьский,https://www.pik.ru/search/ekb/ip
142,2,6247800,60,Октябрьский,https://www.pik.ru/search/ekb/ip
143,2,7223914,60,Октябрьский,https://www.pik.ru/search/ekb/ip
144,3,8451608,92.8,Октябрьский,https://www.pik.ru/search/ekb/ip
145,3,9223975,92,Октябрьский,https://www.pik.ru/search/ekb/ip
146,Ст,3654705,20.4,Октябрьский,https://www.pik.ru/search/ekb/ip
147,2,7378801,60,Октябрьский,https://www.pik.ru/search/ekb/ip
148,2,6651453,52.8,Октябрьский,https://www.pik.ru/search/ekb/ip
149,3,9660876,92.8,Октябрьский,https://www.pik.ru/search/ekb/ip
150,Ст,3543765,19.6,Октябрьский,https://www.pik.ru/search/ekb/ip
151,2,5250501,56.4,Октябрьский,https://www.pik.ru/search/ekb/ip
152,1,5106737,41.7,Октябрьский,https://www.pik.ru/search/ekb/ip
153,Ст,3778986,20.4,Октябрьский,https://www.pik.ru/search/ekb/ip
154,2,6350353,60,Октябрьский,https://www.pik.ru/search/ekb/ip
155,2,6319376,60,Октябрьский,https://www.pik.ru/search/ekb/ip
156,2,6400330,52,Октябрьский,https://www.pik.ru/search/ekb/ip
157,2,6257421,60,Октябрьский,https://www.pik.ru/search/ekb/ip
158,3,9823487,92.8,Октябрьский,https://www.pik.ru/search/ekb/ip
159,3,6937621,73.4,Октябрьский,https://www.pik.ru/search/ekb/ip
160,1,4885993,42.4,Октябрьский,https://www.pik.ru/search/ekb/ip
161,3,8124817,73.4,Октябрьский,https://www.pik.ru/search/ekb/ip
162,3,9266964,92,Октябрьский,https://www.pik.ru/search/ekb/ip
163,2,5509009,52,Октябрьский,https://www.pik.ru/search/ekb/ip
164,1,4487221,33.3,Октябрьский,https://www.pik.ru/search/ekb/ip
165,3,8160089,92.8,Октябрьский,https://www.pik.ru/search/ekb/ip
166,Ст,3106613,19.6,Октябрьский,https://www.pik.ru/search/ekb/ip
167,3,9116502,92,Октябрьский,https://www.pik.ru/search/ekb/ip
168,1,4694794,41.7,Октябрьский,https://www.pik.ru/search/ekb/ip
169,2,6400330,52,Октябрьский,https://www.pik.ru/search/ekb/ip
170,1,4401590,34.6,Железнодорожный,https://www.pik.ru/search/ekb/kosmonavtov11
171,Ст,3156568,23.2,Железнодорожный,https://www.pik.ru/search/ekb/kosmonavtov11
172,Ст,3528690,23.2,Железнодорожный,https://www.pik.ru/search/ekb/kosmonavtov11
173,2,5909752,60.5,Железнодорожный,https://www.pik.ru/search/ekb/kosmonavtov11
174,1,5045330,39.5,Железнодорожный,https://www.pik.ru/search/ekb/kosmonavtov11
175,2,5568654,61.1,Железнодорожный,https://www.pik.ru/search/ekb/kosmonavtov11
176,2,5907439,58.2,Железнодорожный,https://www.pik.ru/search/ekb/kosmonavtov11
177,1,4369435,34.6,Железнодорожный,https://www.pik.ru/search/ekb/kosmonavtov11
178,2,5966415,65.8,Железнодорожный,https://www.pik.ru/search/ekb/kosmonavtov11
179,2,5614166,53.2,Железнодорожный,https://www.pik.ru/search/ekb/kosmonavtov11
180,2,6910888,69.5,Железнодорожный,https://www.pik.ru/search/ekb/kosmonavtov11
181,2,5561939,50.2,Железнодорожный,https://www.pik.ru/search/ekb/kosmonavtov11
182,1,4846496,36.3,Железнодорожный,https://www.pik.ru/search/ekb/kosmonavtov11
